priority,url,primary_query,impressions,avg_position,current_status,current_health,required_status,required_canonical,required_indexability,acceptance_action,owner
P0-1,https://www.biyapay.com/compare/best-USD-PHP-exchange-rate?amount=1500,1500 dollars to philippine peso,22598,7.89,500,technical_blocker,200,self or documented canonical preserving amount intent,"index, follow",retest live metadata after route/server fix; then move into compare SEO handoff,Product + Frontend + Backend + SEO
P0-2,https://www.biyapay.com/compare/best-AED-INR-exchange-rates?amount=3000,,16146,8.12,500,technical_blocker,200,self or documented canonical preserving amount intent,"index, follow",retest live metadata after route/server fix; then move into compare SEO handoff,Product + Frontend + Backend + SEO
P0-3,https://www.biyapay.com/compare/best-AED-INR-exchange-rate?amount=1500,1500 dirhams in rupees,14283,8.99,500,technical_blocker,200,self or documented canonical preserving amount intent,"index, follow",retest live metadata after route/server fix; then move into compare SEO handoff,Product + Frontend + Backend + SEO
P0-4,https://www.biyapay.com/compare/best-USD-PKR-exchange-rate?amount=1500,,12604,6.88,500,technical_blocker,200,self or documented canonical preserving amount intent,"index, follow",retest live metadata after route/server fix; then move into compare SEO handoff,Product + Frontend + Backend + SEO
P0-5,https://www.biyapay.com/compare/best-USD-GBP-exchange-rate?amount=1500,,11778,8.57,500,technical_blocker,200,self or documented canonical preserving amount intent,"index, follow",retest live metadata after route/server fix; then move into compare SEO handoff,Product + Frontend + Backend + SEO
P0-6,https://www.biyapay.com/compare/best-JPY-USD-exchange-rates?amount=1500,,7960,8.18,500,technical_blocker,200,self or documented canonical preserving amount intent,"index, follow",retest live metadata after route/server fix; then move into compare SEO handoff,Product + Frontend + Backend + SEO
P0-7,https://www.biyapay.com/compare/best-USD-INR-exchange-rate?amount=1500,,7717,8.41,500,technical_blocker,200,self or documented canonical preserving amount intent,"index, follow",retest live metadata after route/server fix; then move into compare SEO handoff,Product + Frontend + Backend + SEO
P0-8,https://www.biyapay.com/compare/best-USD-AUD-exchange-rate?amount=1500,,6153,8.67,500,technical_blocker,200,self or documented canonical preserving amount intent,"index, follow",retest live metadata after route/server fix; then move into compare SEO handoff,Product + Frontend + Backend + SEO
P0-9,https://www.biyapay.com/compare/best-PHP-USD-exchange-rates?amount=20000,,5915,9.43,500,technical_blocker,200,self or documented canonical preserving amount intent,"index, follow",retest live metadata after route/server fix; then move into compare SEO handoff,Product + Frontend + Backend + SEO
P0-10,https://www.biyapay.com/compare/best-EUR-USD-exchange-rates?amount=1500,1500 euro to usd,5267,8.71,500,technical_blocker,200,self or documented canonical preserving amount intent,"index, follow",retest live metadata after route/server fix; then move into compare SEO handoff,Product + Frontend + Backend + SEO
P0-11,https://www.biyapay.com/compare/best-HKD-USD-exchange-rate?amount=1500,1500 hong kong dollars to usd,5089,6.81,500,technical_blocker,200,self or documented canonical preserving amount intent,"index, follow",retest live metadata after route/server fix; then move into compare SEO handoff,Product + Frontend + Backend + SEO
P0-12,https://www.biyapay.com/compare/best-JPY-USD-exchange-rate?amount=1500,,4969,6.88,500,technical_blocker,200,self or documented canonical preserving amount intent,"index, follow",retest live metadata after route/server fix; then move into compare SEO handoff,Product + Frontend + Backend + SEO
