url,base_url,primary_query,impressions,estimated_click_uplift,historical_internal_status_summary,historical_response_status_summary,large_inlink_rows,large_inlink_source_urls,anchor_variants,top_anchor,top_anchor_rows,action
https://www.biyapay.com/compare/best-USD-PHP-exchange-rate?amount=1500,https://www.biyapay.com/compare/best-USD-PHP-exchange-rate,1500 dollars to philippine peso,22598,338,,,0,0,0,,0,fix live 500 first; then validate canonical/indexability and preserve internal links
https://www.biyapay.com/compare/best-AED-INR-exchange-rates?amount=3000,https://www.biyapay.com/compare/best-AED-INR-exchange-rates,,16146,241,,,0,0,0,,0,fix live 500 first; then validate canonical/indexability and preserve internal links
https://www.biyapay.com/compare/best-AED-INR-exchange-rate?amount=1500,https://www.biyapay.com/compare/best-AED-INR-exchange-rate,1500 dirhams in rupees,14283,212,,,0,0,0,,0,fix live 500 first; then validate canonical/indexability and preserve internal links
https://www.biyapay.com/compare/best-USD-PKR-exchange-rate?amount=1500,https://www.biyapay.com/compare/best-USD-PKR-exchange-rate,,12604,188,,,0,0,0,,0,fix live 500 first; then validate canonical/indexability and preserve internal links
https://www.biyapay.com/compare/best-USD-GBP-exchange-rate?amount=1500,https://www.biyapay.com/compare/best-USD-GBP-exchange-rate,,11778,177,,,0,0,0,,0,fix live 500 first; then validate canonical/indexability and preserve internal links
https://www.biyapay.com/compare/best-JPY-USD-exchange-rates?amount=1500,https://www.biyapay.com/compare/best-JPY-USD-exchange-rates,,7960,119,,,0,0,0,,0,fix live 500 first; then validate canonical/indexability and preserve internal links
https://www.biyapay.com/compare/best-USD-INR-exchange-rate?amount=1500,https://www.biyapay.com/compare/best-USD-INR-exchange-rate,,7717,116,,,0,0,0,,0,fix live 500 first; then validate canonical/indexability and preserve internal links
https://www.biyapay.com/compare/best-USD-AUD-exchange-rate?amount=1500,https://www.biyapay.com/compare/best-USD-AUD-exchange-rate,,6153,91,,,0,0,0,,0,fix live 500 first; then validate canonical/indexability and preserve internal links
https://www.biyapay.com/compare/best-PHP-USD-exchange-rates?amount=20000,https://www.biyapay.com/compare/best-PHP-USD-exchange-rates,,5915,89,,,0,0,0,,0,fix live 500 first; then validate canonical/indexability and preserve internal links
https://www.biyapay.com/compare/best-EUR-USD-exchange-rates?amount=1500,https://www.biyapay.com/compare/best-EUR-USD-exchange-rates,1500 euro to usd,5267,78,,,0,0,0,,0,fix live 500 first; then validate canonical/indexability and preserve internal links
https://www.biyapay.com/compare/best-HKD-USD-exchange-rate?amount=1500,https://www.biyapay.com/compare/best-HKD-USD-exchange-rate,1500 hong kong dollars to usd,5089,74,,,0,0,0,,0,fix live 500 first; then validate canonical/indexability and preserve internal links
https://www.biyapay.com/compare/best-JPY-USD-exchange-rate?amount=1500,https://www.biyapay.com/compare/best-JPY-USD-exchange-rate,,4969,75,,,0,0,0,,0,fix live 500 first; then validate canonical/indexability and preserve internal links
